text,label,word_count,cleaned_text,tokens,token_count,predicted,correct,predicted_name,actual_name
Probability of a recession pretty low: strategist,1,7,probability of a recession pretty low strategist,"['probability', 'of', 'a', 'recession', 'pretty', 'low', 'strategist']",7,0,False,Bearish,Bullish
Greenhouse gas emissions in the U.S. are forecast to decline by a whopping 7.5% this year https://t.co/nxxvDqphKR,2,17,greenhouse gas emissions in the u.s. are forecast to decline by a whopping 7.5% this year,"['greenhouse', 'gas', 'emissions', 'in', 'the', 'u.s', 'are', 'forecast', 'to', 'decline', 'by', 'a', 'whopping', '7.5%', 'this', 'year']",16,0,False,Bearish,Neutral
$AMBA - Ambarella Will Be Hard Pressed To Keep Going At Its Current Pace. Read more: https://t.co/ihnEpI8rfA… https://t.co/JHXvj8hVEm,0,18,$AMBA - ambarella will be hard pressed to keep going at its current pace. read more,"['$AMBA', '-', 'ambarella', 'will', 'be', 'hard', 'pressed', 'to', 'keep', 'going', 'at', 'its', 'current', 'pace', 'read', 'more']",16,2,False,Neutral,Bearish
Drug Legislation Likely to Dry Up Biotech Funding,2,8,drug legislation likely to dry up biotech funding,"['drug', 'legislation', 'likely', 'to', 'dry', 'up', 'biotech', 'funding']",8,0,False,Bearish,Neutral
BlackRock Cuts Stake in U.S. Coal Giant After Climate Pledge,2,10,blackrock cuts stake in u.s. coal giant after climate pledge,"['blackrock', 'cuts', 'stake', 'in', 'u.s', 'coal', 'giant', 'after', 'climate', 'pledge']",10,0,False,Bearish,Neutral
"Snap On EPS in-line, misses on revenue",2,7,"snap on eps in-line, misses on revenue","['snap', 'on', 'eps', 'in-line', 'misses', 'on', 'revenue']",7,0,False,Bearish,Neutral
Exxon Mobil : Found Not Guilty of Fraud in Climate-Change Accounting Case #ExxonMobil #Stock #MarketScreener… https://t.co/BAAL3ZX7Af,1,16,exxon mobil found not guilty of fraud in climate-change accounting case exxonmobil stock marketscreener,"['exxon', 'mobil', 'found', 'not', 'guilty', 'of', 'fraud', 'in', 'climate-change', 'accounting', 'case', 'exxonmobil', 'stock', 'marketscreener']",14,2,False,Neutral,Bullish
McDonald's settles class action lawsuit,1,5,mcdonald's settles class action lawsuit,"[""mcdonald's"", 'settles', 'class', 'action', 'lawsuit']",5,0,False,Bearish,Bullish
"Energy has gone nowhere in the past decade, and it could get worse before it gets better https://t.co/PSDVJKnQ3B",0,18,"energy has gone nowhere in the past decade, and it could get worse before it gets better","['energy', 'has', 'gone', 'nowhere', 'in', 'the', 'past', 'decade', 'and', 'it', 'could', 'get', 'worse', 'before', 'it', 'gets', 'better']",17,2,False,Neutral,Bearish
U.S. Regional Economic Predictions For 2020. https://t.co/4IWagah0r1 #stocks #stockmarket #markets,2,10,u.s. regional economic predictions for 2020. stocks stockmarket markets,"['u.s', 'regional', 'economic', 'predictions', 'for', '2020', 'stocks', 'stockmarket', 'markets']",9,1,False,Bullish,Neutral
Highlight: “There’s going to be a bloodbath in terms of synergy savings and retrenchment…” @InvescoUS's… https://t.co/YPgyDW3rMX,0,16,highlight there s going to be a bloodbath in terms of synergy savings and retrenchment 's,"['highlight', 'there', 's', 'going', 'to', 'be', 'a', 'bloodbath', 'in', 'terms', 'of', 'synergy', 'savings', 'and', 'retrenchment', ""'s""]",16,2,False,Neutral,Bearish
$DIS (+0.6% pre) “Frozen 2” Walt Disney Animation Studios’ Highest Grossing Debut Ever https://t.co/SksjdnI6s7,1,14,$DIS 0.6% pre frozen 2 walt disney animation studios highest grossing debut ever,"['$DIS', '0.6%', 'pre', 'frozen', '2', 'walt', 'disney', 'animation', 'studios', 'highest', 'grossing', 'debut', 'ever']",13,0,False,Bearish,Bullish
$INO - Inovio on go with study of INO-3107 for rare HPV disorder; shares up 15% https://t.co/Pd5qkpU2Jy,1,17,$INO - inovio on go with study of ino-3107 for rare hpv disorder shares up 15%,"['$INO', '-', 'inovio', 'on', 'go', 'with', 'study', 'of', 'ino-3107', 'for', 'rare', 'hpv', 'disorder', 'shares', 'up', '15%']",16,2,False,Neutral,Bullish
EU Trade Commissioner Phil Hogan says a political agreement on the shape of a new trading relationship with the U.K… https://t.co/TrAWPGQl0L,1,21,eu trade commissioner phil hogan says a political agreement on the shape of a new trading relationship with the u.k,"['eu', 'trade', 'commissioner', 'phil', 'hogan', 'says', 'a', 'political', 'agreement', 'on', 'the', 'shape', 'of', 'a', 'new', 'trading', 'relationship', 'with', 'the', 'u.k']",20,2,False,Neutral,Bullish
Building permits rise to highest level since 2017,1,8,building permits rise to highest level since 2017,"['building', 'permits', 'rise', 'to', 'highest', 'level', 'since', '2017']",8,2,False,Neutral,Bullish
$ITCI - Intra-Cellular Therapies: This Small Cap Biotech Will Not Be Small For Long. https://t.co/ugRiEpDWjK #economy #investing #markets,1,18,$ITCI - intra-cellular therapies this small cap biotech will not be small for long. economy investing markets,"['$ITCI', '-', 'intra-cellular', 'therapies', 'this', 'small', 'cap', 'biotech', 'will', 'not', 'be', 'small', 'for', 'long', 'economy', 'investing', 'markets']",17,0,False,Bearish,Bullish
$LQD - A History Of IG Credit Spreads Suggests Opportunity. https://t.co/AdkNzNC1Y3 #investing #finance #business,1,14,$LQD - a history of ig credit spreads suggests opportunity. investing finance business,"['$LQD', '-', 'a', 'history', 'of', 'ig', 'credit', 'spreads', 'suggests', 'opportunity', 'investing', 'finance', 'business']",13,2,False,Neutral,Bullish
California governor rejects $13.5 billion PG&E settlement,0,7,california governor rejects $13.5 billion pg e settlement,"['california', 'governor', 'rejects', '$13.5', 'billion', 'pg', 'e', 'settlement']",8,2,False,Neutral,Bearish
Kodak Is Having a Comeback Moment as Oscars Embrace Film,1,10,kodak is having a comeback moment as oscars embrace film,"['kodak', 'is', 'having', 'a', 'comeback', 'moment', 'as', 'oscars', 'embrace', 'film']",10,2,False,Neutral,Bullish
JPMorgan under the microscope for metals spoofing,0,7,jpmorgan under the microscope for metals spoofing,"['jpmorgan', 'under', 'the', 'microscope', 'for', 'metals', 'spoofing']",7,2,False,Neutral,Bearish
Natural Gas Prices To Trade Sideways With Near-Term Weather Being Variable; Upside Potential Still On Table Longer… https://t.co/uM9WXN9x2M,2,18,natural gas prices to trade sideways with near-term weather being variable upside potential still on table longer,"['natural', 'gas', 'prices', 'to', 'trade', 'sideways', 'with', 'near-term', 'weather', 'being', 'variable', 'upside', 'potential', 'still', 'on', 'table', 'longer']",17,0,False,Bearish,Neutral
S&P 500 erases 2020 gains on concern the spread of the coronavirus will slam global economic growth... https://t.co/KFdhjTRC01,0,18,s p 500 erases 2020 gains on concern the spread of the coronavirus will slam global economic growth...,"['s', 'p', '500', 'erases', '2020', 'gains', 'on', 'concern', 'the', 'spread', 'of', 'the', 'coronavirus', 'will', 'slam', 'global', 'economic', 'growth']",18,1,False,Bullish,Bearish
Israelis Hurt in Jerusalem Car Ramming Attack,2,7,israelis hurt in jerusalem car ramming attack,"['israelis', 'hurt', 'in', 'jerusalem', 'car', 'ramming', 'attack']",7,0,False,Bearish,Neutral
Patience With Aurora Cannabis Will Pay Off in 2020,2,9,patience with aurora cannabis will pay off in 2020,"['patience', 'with', 'aurora', 'cannabis', 'will', 'pay', 'off', 'in', '2020']",9,1,False,Bullish,Neutral
Averages edges higher https://t.co/LROFMPI1Jy,1,4,averages edges higher,"['averages', 'edges', 'higher']",3,2,False,Neutral,Bullish
"Despite its strong ties to geopolitical events, gold is still driven by supply and demand.  https://t.co/d5nKtsma4S",2,16,"despite its strong ties to geopolitical events, gold is still driven by supply and demand.","['despite', 'its', 'strong', 'ties', 'to', 'geopolitical', 'events', 'gold', 'is', 'still', 'driven', 'by', 'supply', 'and', 'demand']",15,1,False,Bullish,Neutral
Uber ready to join FANG after earnings - RBC,2,9,uber ready to join fang after earnings - rbc,"['uber', 'ready', 'to', 'join', 'fang', 'after', 'earnings', '-', 'rbc']",9,1,False,Bullish,Neutral
"$SDRL - Seadrill: Another Debt Restructuring In The Making, But Don't Bet On Bankruptcy This Time. Read more and si… https://t.co/ggd501LE5q",0,21,"$SDRL - seadrill another debt restructuring in the making, but don't bet on bankruptcy this time. read more and si","['$SDRL', '-', 'seadrill', 'another', 'debt', 'restructuring', 'in', 'the', 'making', 'but', ""don't"", 'bet', 'on', 'bankruptcy', 'this', 'time', 'read', 'more', 'and', 'si']",20,2,False,Neutral,Bearish
Why Disney+ is the only service that can rival Netflix,1,10,why disney is the only service that can rival netflix,"['why', 'disney', 'is', 'the', 'only', 'service', 'that', 'can', 'rival', 'netflix']",10,2,False,Neutral,Bullish
DOJ preps legal action against Live Nation - WSJ,0,9,doj preps legal action against live nation - wsj,"['doj', 'preps', 'legal', 'action', 'against', 'live', 'nation', '-', 'wsj']",9,2,False,Neutral,Bearish
Global stock rally spurs selloff of Treasurys ahead of benchmark debt auction https://t.co/DqNyYNisgU,0,13,global stock rally spurs selloff of treasurys ahead of benchmark debt auction,"['global', 'stock', 'rally', 'spurs', 'selloff', 'of', 'treasurys', 'ahead', 'of', 'benchmark', 'debt', 'auction']",12,1,False,Bullish,Bearish
$KOS - Kosmos inks Greater Tortue LNG supply deal with BP https://t.co/0a3CT4hQP6,1,12,$KOS - kosmos inks greater tortue lng supply deal with bp,"['$KOS', '-', 'kosmos', 'inks', 'greater', 'tortue', 'lng', 'supply', 'deal', 'with', 'bp']",11,2,False,Neutral,Bullish
The second pension-related U.K. university strike in two years will affect more than a million students https://t.co/qqlb9QeKZK,2,17,the second pension-related u.k. university strike in two years will affect more than a million students,"['the', 'second', 'pension-related', 'u.k', 'university', 'strike', 'in', 'two', 'years', 'will', 'affect', 'more', 'than', 'a', 'million', 'students']",16,0,False,Bearish,Neutral
"Medical Properties Trust, Inc. Completes 2019 With Record $4.5 Billion in Acquisitions for 64% Growth Rate and Delivers Market-Leading Shareholder Returns",1,21,"medical properties trust, inc. completes 2019 with record $4.5 billion in acquisitions for 64% growth rate and delivers market-leading shareholder returns","['medical', 'properties', 'trust', 'inc', 'completes', '2019', 'with', 'record', '$4.5', 'billion', 'in', 'acquisitions', 'for', '64%', 'growth', 'rate', 'and', 'delivers', 'market-leading', 'shareholder', 'returns']",21,2,False,Neutral,Bullish
"$M (+0.2% pre) Macy's may have just signaled a dividend cut - Brian Sozzi

https://t.co/tDGkehqg9i",0,15,$M 0.2% pre macy's may have just signaled a dividend cut - brian sozzi,"['$M', '0.2%', 'pre', ""macy's"", 'may', 'have', 'just', 'signaled', 'a', 'dividend', 'cut', '-', 'brian', 'sozzi']",14,1,False,Bullish,Bearish
Rising Crude Inventories Fail To Halt Oil Rally,1,8,rising crude inventories fail to halt oil rally,"['rising', 'crude', 'inventories', 'fail', 'to', 'halt', 'oil', 'rally']",8,0,False,Bearish,Bullish
UPDATE 2-U.S. safety board wants Boeing to redesign 737 NG part after fatal Southwest accident,0,15,update 2-u.s. safety board wants boeing to redesign 737 ng part after fatal southwest accident,"['update', '2-u.s', 'safety', 'board', 'wants', 'boeing', 'to', 'redesign', '737', 'ng', 'part', 'after', 'fatal', 'southwest', 'accident']",15,2,False,Neutral,Bearish
Macy's Q3 EPS 1 cent vs. 20 cents,0,8,macy's q3 eps 1 cent vs. 20 cents,"[""macy's"", 'q3', 'eps', '1', 'cent', 'vs', '20', 'cents']",8,1,False,Bullish,Bearish
Stock Market Update: Early Levels,2,5,stock market update early levels,"['stock', 'market', 'update', 'early', 'levels']",5,1,False,Bullish,Neutral
Fed policymakers working to limit damage as pandemic puts U.S. economy on pause https://t.co/QwCihVGWly https://t.co/ZRbeFgfAdo,0,15,fed policymakers working to limit damage as pandemic puts u.s. economy on pause,"['fed', 'policymakers', 'working', 'to', 'limit', 'damage', 'as', 'pandemic', 'puts', 'u.s', 'economy', 'on', 'pause']",13,2,False,Neutral,Bearish
"""The big threat is not so much the number of outstanding cash-out refis as it is the total dollar amount — $3.1 tri… https://t.co/gk9Qd0ewhc",2,24,the big threat is not so much the number of outstanding cash-out refis as it is the total dollar amount $3.1 tri,"['the', 'big', 'threat', 'is', 'not', 'so', 'much', 'the', 'number', 'of', 'outstanding', 'cash-out', 'refis', 'as', 'it', 'is', 'the', 'total', 'dollar', 'amount', '$3.1', 'tri']",22,0,False,Bearish,Neutral
"Just when it seemed like things couldn't get worse for Tesla after the botched unveiling of its Cybertruck, the int… https://t.co/VwpJZ2lDpg",0,21,"just when it seemed like things couldn't get worse for tesla after the botched unveiling of its cybertruck, the int","['just', 'when', 'it', 'seemed', 'like', 'things', ""couldn't"", 'get', 'worse', 'for', 'tesla', 'after', 'the', 'botched', 'unveiling', 'of', 'its', 'cybertruck', 'the', 'int']",20,2,False,Neutral,Bearish
Upgrades 2/4: $AMAL $CM $CMCSA $ELF $GDOT $LFUS $MLI $RRR $TD $TXRH $VLY $WW Downgrades 2/4: $ABG $AWK $CHKP $DEO… https://t.co/xscOdKUhfo,2,21,upgrades 2 4 $AMAL $CM $CMCSA $ELF $GDOT $LFUS $MLI $RRR $TD $TXRH $VLY $WW downgrades 2 4 $ABG $AWK $CHKP $DEO,"['upgrades', '2', '4', '$AMAL', '$CM', '$CMCSA', '$ELF', '$GDOT', '$LFUS', '$MLI', '$RRR', '$TD', '$TXRH', '$VLY', '$WW', 'downgrades', '2', '4', '$ABG', '$AWK', '$CHKP', '$DEO']",22,1,False,Bullish,Neutral
