text,label,word_count,cleaned_text,tokens,token_count,predicted,correct,predicted_name,actual_name
$SPCE - Virgin Galactic takes off again; +11% https://t.co/on2VqYzlIM,1,9,$SPCE - virgin galactic takes off again 11%,"['$SPCE', '-', 'virgin', 'galactic', 'takes', 'off', 'again', '11%']",8,0,False,Bearish,Bullish
"Exclusive: UK's Labour sticks to 'basic' $20 cyber defense after attacks, emails show",2,13,"exclusive uk's labour sticks to 'basic' $20 cyber defense after attacks, emails show","['exclusive', ""uk's"", 'labour', 'sticks', 'to', ""'basic'"", '$20', 'cyber', 'defense', 'after', 'attacks', 'emails', 'show']",13,0,False,Bearish,Neutral
Probability of a recession pretty low: strategist,1,7,probability of a recession pretty low strategist,"['probability', 'of', 'a', 'recession', 'pretty', 'low', 'strategist']",7,0,False,Bearish,Bullish
Greenhouse gas emissions in the U.S. are forecast to decline by a whopping 7.5% this year https://t.co/nxxvDqphKR,2,17,greenhouse gas emissions in the u.s. are forecast to decline by a whopping 7.5% this year,"['greenhouse', 'gas', 'emissions', 'in', 'the', 'u.s', 'are', 'forecast', 'to', 'decline', 'by', 'a', 'whopping', '7.5%', 'this', 'year']",16,0,False,Bearish,Neutral
$AMBA - Ambarella Will Be Hard Pressed To Keep Going At Its Current Pace. Read more: https://t.co/ihnEpI8rfA… https://t.co/JHXvj8hVEm,0,18,$AMBA - ambarella will be hard pressed to keep going at its current pace. read more,"['$AMBA', '-', 'ambarella', 'will', 'be', 'hard', 'pressed', 'to', 'keep', 'going', 'at', 'its', 'current', 'pace', 'read', 'more']",16,2,False,Neutral,Bearish
$WORX still liking and holding. Adding on any dip.,1,9,$WORX still liking and holding. adding on any dip.,"['$WORX', 'still', 'liking', 'and', 'holding', 'adding', 'on', 'any', 'dip']",9,2,False,Neutral,Bullish
Drug Legislation Likely to Dry Up Biotech Funding,2,8,drug legislation likely to dry up biotech funding,"['drug', 'legislation', 'likely', 'to', 'dry', 'up', 'biotech', 'funding']",8,1,False,Bullish,Neutral
$TOL - Now Is The Time To Build A Position In Toll Brothers. https://t.co/JT5KD745ov #business #finance #economy,1,17,$TOL - now is the time to build a position in toll brothers. business finance economy,"['$TOL', '-', 'now', 'is', 'the', 'time', 'to', 'build', 'a', 'position', 'in', 'toll', 'brothers', 'business', 'finance', 'economy']",16,2,False,Neutral,Bullish
Consumer Insolvencies Approach Record in Debt-Weary Canada,0,7,consumer insolvencies approach record in debt-weary canada,"['consumer', 'insolvencies', 'approach', 'record', 'in', 'debt-weary', 'canada']",7,2,False,Neutral,Bearish
BlackRock Cuts Stake in U.S. Coal Giant After Climate Pledge,2,10,blackrock cuts stake in u.s. coal giant after climate pledge,"['blackrock', 'cuts', 'stake', 'in', 'u.s', 'coal', 'giant', 'after', 'climate', 'pledge']",10,0,False,Bearish,Neutral
"Snap On EPS in-line, misses on revenue",2,7,"snap on eps in-line, misses on revenue","['snap', 'on', 'eps', 'in-line', 'misses', 'on', 'revenue']",7,0,False,Bearish,Neutral
