text,label,word_count,cleaned_text,tokens,token_count
Edited Transcript of PIRS earnings conference call or presentation 11-Nov-19 1:00pm GMT,2,12,edited transcript of pirs earnings conference call or presentation 11-nov-19 1 00pm gmt,"['edited', 'transcript', 'of', 'pirs', 'earnings', 'conference', 'call', 'or', 'presentation', '11-nov-19', '1', '00pm', 'gmt']",13
Indian sugar exports poised to hit record 5 million tonnes this year,1,12,indian sugar exports poised to hit record 5 million tonnes this year,"['indian', 'sugar', 'exports', 'poised', 'to', 'hit', 'record', '5', 'million', 'tonnes', 'this', 'year']",12
Mid-Day Market Update: Tallgrass Energy Jumps Following Acquisition News; Proteostasis Therapeutics Shares Plummet,2,13,mid-day market update tallgrass energy jumps following acquisition news proteostasis therapeutics shares plummet,"['mid-day', 'market', 'update', 'tallgrass', 'energy', 'jumps', 'following', 'acquisition', 'news', 'proteostasis', 'therapeutics', 'shares', 'plummet']",13
"Sun Kissed Acquires Hakuna Supply, an Award-Winning Commercial Stage CBD Products Company  https://t.co/8HELNTuPgC",2,13,"sun kissed acquires hakuna supply, an award-winning commercial stage cbd products company","['sun', 'kissed', 'acquires', 'hakuna', 'supply', 'an', 'award-winning', 'commercial', 'stage', 'cbd', 'products', 'company']",12
$KFFB - Kentucky First Federal Bancorp reports Q1 results https://t.co/FX6RPrQvcT,2,10,$KFFB - kentucky first federal bancorp reports q1 results,"['$KFFB', '-', 'kentucky', 'first', 'federal', 'bancorp', 'reports', 'q1', 'results']",9
U.S. stocks are 📈 https://t.co/2cVbN4AIF4 https://t.co/iAQJgLcbR6,1,6,u.s. stocks are,"['u.s', 'stocks', 'are']",3
Alibaba's books close early in $13.4 billion Hong Kong listing: sources,2,11,alibaba's books close early in $13.4 billion hong kong listing sources,"[""alibaba's"", 'books', 'close', 'early', 'in', '$13.4', 'billion', 'hong', 'kong', 'listing', 'sources']",11
"Entercom Communications to Report 2019 Fourth Quarter Financial Results, Host Conference Call on February 25",2,15,"entercom communications to report 2019 fourth quarter financial results, host conference call on february 25","['entercom', 'communications', 'to', 'report', '2019', 'fourth', 'quarter', 'financial', 'results', 'host', 'conference', 'call', 'on', 'february', '25']",15
U.S. jobs growth beats expectations for January,1,7,u.s. jobs growth beats expectations for january,"['u.s', 'jobs', 'growth', 'beats', 'expectations', 'for', 'january']",7
Skanska : Co-creating solutions to reduce the industry's carbon footprint #Skanska #Stock #MarketScreener… https://t.co/9nyStnrT3l,2,14,skanska co-creating solutions to reduce the industry's carbon footprint skanska stock marketscreener,"['skanska', 'co-creating', 'solutions', 'to', 'reduce', 'the', ""industry's"", 'carbon', 'footprint', 'skanska', 'stock', 'marketscreener']",12
Stock Market Update: WTI crude rises on trade deal,1,9,stock market update wti crude rises on trade deal,"['stock', 'market', 'update', 'wti', 'crude', 'rises', 'on', 'trade', 'deal']",9
Satellites Are Helping the Municipal-Bond Market Assess Climate Risk,2,9,satellites are helping the municipal-bond market assess climate risk,"['satellites', 'are', 'helping', 'the', 'municipal-bond', 'market', 'assess', 'climate', 'risk']",9
EnerBank Scholarship Helps Build the HVAC Future with Qualified Workers,2,10,enerbank scholarship helps build the hvac future with qualified workers,"['enerbank', 'scholarship', 'helps', 'build', 'the', 'hvac', 'future', 'with', 'qualified', 'workers']",10
"Nelnet, Inc. (NNI): Are Hedge Funds Right About This Stock?",2,10,"nelnet, inc. nni are hedge funds right about this stock","['nelnet', 'inc', 'nni', 'are', 'hedge', 'funds', 'right', 'about', 'this', 'stock']",10
"""It's not really time yet to stimulate spending,"" former Fed Chair Ben Bernanke said today, adding that it will ""ha… https://t.co/iYSEFhCzGY",2,21,"it's not really time yet to stimulate spending, former fed chair ben bernanke said today, adding that it will ha","[""it's"", 'not', 'really', 'time', 'yet', 'to', 'stimulate', 'spending', 'former', 'fed', 'chair', 'ben', 'bernanke', 'said', 'today', 'adding', 'that', 'it', 'will', 'ha']",20
Walmart Marks A Five-Year Streak Of Quarterly Sales Gains And Turns To A Robotic Future,1,15,walmart marks a five-year streak of quarterly sales gains and turns to a robotic future,"['walmart', 'marks', 'a', 'five-year', 'streak', 'of', 'quarterly', 'sales', 'gains', 'and', 'turns', 'to', 'a', 'robotic', 'future']",15
